Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2192, NSW","16-24 hours",550
"Persons Place of Usual Residence","2192, NSW","25-34 hours",621
"Persons Place of Usual Residence","2192, NSW","35-39 hours",1216
"Persons Place of Usual Residence","2192, NSW","40 hours",1099
"Persons Place of Usual Residence","2192, NSW","41-48 hours",393
"Persons Place of Usual Residence","2192, NSW","49 hours and over",503
"Persons Place of Usual Residence","2192, NSW","Not stated",145
"Persons Place of Usual Residence","2192, NSW","Not applicable",7496
"Persons Place of Usual Residence","2193, NSW","None",196
"Persons Place of Usual Residence","2193, NSW","1-15 hours",736
"Persons Place of Usual Residence","2193, NSW","16-24 hours",880
"Persons Place of Usual Residence","2193, NSW","25-34 hours",808
"Persons Place of Usual Residence","2193, NSW","35-39 hours",1576
"Persons Place of Usual Residence","2193, NSW","40 hours",1653
"Persons Place of Usual Residence","2193, NSW","41-48 hours",761
"Persons Place of Usual Residence","2193, NSW","49 hours and over",921
"Persons Place of Usual Residence","2193, NSW","Not stated",136
"Persons Place of Usual Residence","2193, NSW","Not applicable",7586
"Persons Place of Usual Residence","2194, NSW","None",246
"Persons Place of Usual Residence","2194, NSW","1-15 hours",1111
"Persons Place of Usual Residence","2194, NSW","16-24 hours",1671
"Persons Place of Usual Residence","2194, NSW","25-34 hours",1187
"Persons Place of Usual Residence","2194, NSW","35-39 hours",2716
"Persons Place of Usual Residence","2194, NSW","40 hours",2172
"Persons Place of Usual Residence","2194, NSW","41-48 hours",715
"Persons Place of Usual Residence","2194, NSW","49 hours and over",852
"Persons Place of Usual Residence","2194, NSW","Not stated",315
"Persons Place of Usual Residence","2194, NSW","Not applicable",13552
"Persons Place of Usual Residence","2195, NSW","None",181
"Persons Place of Usual Residence","2195, NSW","1-15 hours",964
"Persons Place of Usual Residence","2195, NSW","16-24 hours",1414
"Persons Place of Usual Residence","2195, NSW","25-34 hours",1066
"Persons Place of Usual Residence","2195, NSW","35-39 hours",2242
"Persons Place of Usual Residence","2195, NSW","40 hours",1693
"Persons Place of Usual Residence","2195, NSW","41-48 hours",620
"Persons Place of Usual Residence","2195, NSW","49 hours and over",726
"Persons Place of Usual Residence","2195, NSW","Not stated",387
"Persons Place of Usual Residence","2195, NSW","Not applicable",17865
"Persons Place of Usual Residence","2196, NSW","None",324
"Persons Place of Usual Residence","2196, NSW","1-15 hours",1380
"Persons Place of Usual Residence","2196, NSW","16-24 hours",1363
"Persons Place of Usual Residence","2196, NSW","25-34 hours",1275
"Persons Place of Usual Residence","2196, NSW","35-39 hours",2519
"Persons Place of Usual Residence","2196, NSW","40 hours",2447
"Persons Place of Usual Residence","2196, NSW","41-48 hours",862
"Persons Place of Usual Residence","2196, NSW","49 hours and over",1172
"Persons Place of Usual Residence","2196, NSW","Not stated",426
"Persons Place of Usual Residence","2196, NSW","Not applicable",20053
"Persons Place of Usual Residence","2197, NSW","None",89
"Persons Place of Usual Residence","2197, NSW","1-15 hours",344
"Persons Place of Usual Residence","2197, NSW","16-24 hours",339
"Persons Place of Usual Residence","2197, NSW","25-34 hours",361
"Persons Place of Usual Residence","2197, NSW","35-39 hours",714
"Persons Place of Usual Residence","2197, NSW","40 hours",683
"Persons Place of Usual Residence","2197, NSW","41-48 hours",257
"Persons Place of Usual Residence","2197, NSW","49 hours and over",359
"Persons Place of Usual Residence","2197, NSW","Not stated",133
"Persons Place of Usual Residence","2197, NSW","Not applicable",5779
"Persons Place of Usual Residence","2198, NSW","None",96
"Persons Place of Usual Residence","2198, NSW","1-15 hours",391
"Persons Place of Usual Residence","2198, NSW","16-24 hours",372
"Persons Place of Usual Residence","2198, NSW","25-34 hours",379
"Persons Place of Usual Residence","2198, NSW","35-39 hours",711
"Persons Place of Usual Residence","2198, NSW","40 hours",754
"Persons Place of Usual Residence","2198, NSW","41-48 hours",290
"Persons Place of Usual Residence","2198, NSW","49 hours and over",445
"Persons Place of Usual Residence","2198, NSW","Not stated",97
"Persons Place of Usual Residence","2198, NSW","Not applicable",5504
"Persons Place of Usual Residence","2199, NSW","None",185
"Persons Place of Usual Residence","2199, NSW","1-15 hours",720
"Persons Place of Usual Residence","2199, NSW","16-24 hours",667
"Persons Place of Usual Residence","2199, NSW","25-34 hours",662
"Persons Place of Usual Residence","2199, NSW","35-39 hours",1540
"Persons Place of Usual Residence","2199, NSW","40 hours",1360
"Persons Place of Usual Residence","2199, NSW","41-48 hours",509
"Persons Place of Usual Residence","2199, NSW","49 hours and over",617
"Persons Place of Usual Residence","2199, NSW","Not stated",216
"Persons Place of Usual Residence","2199, NSW","Not applicable",11542
"Persons Place of Usual Residence","2200, NSW","None",385
"Persons Place of Usual Residence","2200, NSW","1-15 hours",1843
"Persons Place of Usual Residence","2200, NSW","16-24 hours",1793
"Persons Place of Usual Residence","2200, NSW","25-34 hours",1553
"Persons Place of Usual Residence","2200, NSW","35-39 hours",3787
"Persons Place of Usual Residence","2200, NSW","40 hours",3356
"Persons Place of Usual Residence","2200, NSW","41-48 hours",1071
"Persons Place of Usual Residence","2200, NSW","49 hours and over",1502
"Persons Place of Usual Residence","2200, NSW","Not stated",566
"Persons Place of Usual Residence","2200, NSW","Not applicable",27816
"Persons Place of Usual Residence","2203, NSW","None",226
"Persons Place of Usual Residence","2203, NSW","1-15 hours",598
"Persons Place of Usual Residence","2203, NSW","16-24 hours",707
"Persons Place of Usual Residence","2203, NSW","25-34 hours",707
"Persons Place of Usual Residence","2203, NSW","35-39 hours",1485
"Persons Place of Usual Residence","2203, NSW","40 hours",1638
"Persons Place of Usual Residence","2203, NSW","41-48 hours",863
"Persons Place of Usual Residence","2203, NSW","49 hours and over",1132
"Persons Place of Usual Residence","2203, NSW","Not stated",114
"Persons Place of Usual Residence","2203, NSW","Not applicable",6217
"Persons Place of Usual Residence","2204, NSW","None",398
"Persons Place of Usual Residence","2204, NSW","1-15 hours",1079
"Persons Place of Usual Residence","2204, NSW","16-24 hours",1450
"Persons Place of Usual Residence","2204, NSW","25-34 hours",1414
"Persons Place of Usual Residence","2204, NSW","35-39 hours",2809
"Persons Place of Usual Residence","2204, NSW","40 hours",3078
"Persons Place of Usual Residence","2204, NSW","41-48 hours",1483
"Persons Place of Usual Residence","2204, NSW","49 hours and over",1977
"Persons Place of Usual Residence","2204, NSW","Not stated",228
"Persons Place of Usual Residence","2204, NSW","Not applicable",12603
"Persons Place of Usual Residence","2205, NSW","None",258
"Persons Place of Usual Residence","2205, NSW","1-15 hours",778
"Persons Place of Usual Residence","2205, NSW","16-24 hours",1426
"Persons Place of Usual Residence","2205, NSW","25-34 hours",864
"Persons Place of Usual Residence","2205, NSW","35-39 hours",2235
"Persons Place of Usual Residence","2205, NSW","40 hours",2336
"Persons Place of Usual Residence","2205, NSW","41-48 hours",861
"Persons Place of Usual Residence","2205, NSW","49 hours and over",1074
"Persons Place of Usual Residence","2205, NSW","Not stated",246
"Persons Place of Usual Residence","2205, NSW","Not applicable",9368
"Persons Place of Usual Residence","2206, NSW","None",250
"Persons Place of Usual Residence","2206, NSW","1-15 hours",946
"Persons Place of Usual Residence","2206, NSW","16-24 hours",910
"Persons Place of Usual Residence","2206, NSW","25-34 hours",864
"Persons Place of Usual Residence","2206, NSW","35-39 hours",1557
"Persons Place of Usual Residence","2206, NSW","40 hours",1937
"Persons Place of Usual Residence","2206, NSW","41-48 hours",779
"Persons Place of Usual Residence","2206, NSW","49 hours and over",1304
"Persons Place of Usual Residence","2206, NSW","Not stated",186
"Persons Place of Usual Residence","2206, NSW","Not applicable",10666
"Persons Place of Usual Residence","2207, NSW","None",388
"Persons Place of Usual Residence","2207, NSW","1-15 hours",1288
"Persons Place of Usual Residence","2207, NSW","16-24 hours",1349
"Persons Place of Usual Residence","2207, NSW","25-34 hours",1260
"Persons Place of Usual Residence","2207, NSW","35-39 hours",2725
"Persons Place of Usual Residence","2207, NSW","40 hours",2760
"Persons Place of Usual Residence","2207, NSW","41-48 hours",1043
"Persons Place of Usual Residence","2207, NSW","49 hours and over",1539
"Persons Place of Usual Residence","2207, NSW","Not stated",251
"Persons Place of Usual Residence","2207, NSW","Not applicable",15922
"Persons Place of Usual Residence","2208, NSW","None",161
"Persons Place of Usual Residence","2208, NSW","1-15 hours",574
"Persons Place of Usual Residence","2208, NSW","16-24 hours",575
"Persons Place of Usual Residence","2208, NSW","25-34 hours",595
"Persons Place of Usual Residence","2208, NSW","35-39 hours",1135
"Persons Place of Usual Residence","2208, NSW","40 hours",1170
"Persons Place of Usual Residence","2208, NSW","41-48 hours",482
"Persons Place of Usual Residence","2208, NSW","49 hours and over",690
"Persons Place of Usual Residence","2208, NSW","Not stated",141
"Persons Place of Usual Residence","2208, NSW","Not applicable",6927
"Persons Place of Usual Residence","2209, NSW","None",172
"Persons Place of Usual Residence","2209, NSW","1-15 hours",712
"Persons Place of Usual Residence","2209, NSW","16-24 hours",761
"Persons Place of Usual Residence","2209, NSW","25-34 hours",704
"Persons Place of Usual Residence","2209, NSW","35-39 hours",1561
"Persons Place of Usual Residence","2209, NSW","40 hours",1512
"Persons Place of Usual Residence","2209, NSW","41-48 hours",544
"Persons Place of Usual Residence","2209, NSW","49 hours and over",740
"Persons Place of Usual Residence","2209, NSW","Not stated",177
"Persons Place of Usual Residence","2209, NSW","Not applicable",8881
"Persons Place of Usual Residence","2210, NSW","None",394
"Persons Place of Usual Residence","2210, NSW","1-15 hours",1483
"Persons Place of Usual Residence","2210, NSW","16-24 hours",1542
"Persons Place of Usual Residence","2210, NSW","25-34 hours",1329
"Persons Place of Usual Residence","2210, NSW","35-39 hours",2614
"Persons Place of Usual Residence","2210, NSW","40 hours",2728
"Persons Place of Usual Residence","2210, NSW","41-48 hours",1133
"Persons Place of Usual Residence","2210, NSW","49 hours and over",1625
"Persons Place of Usual Residence","2210, NSW","Not stated",279
"Persons Place of Usual Residence","2210, NSW","Not applicable",17451
"Persons Place of Usual Residence","2211, NSW","None",222
"Persons Place of Usual Residence","2211, NSW","1-15 hours",751
"Persons Place of Usual Residence","2211, NSW","16-24 hours",755
"Persons Place of Usual Residence","2211, NSW","25-34 hours",745
"Persons Place of Usual Residence","2211, NSW","35-39 hours",1774
"Persons Place of Usual Residence","2211, NSW","40 hours",1732
"Persons Place of Usual Residence","2211, NSW","41-48 hours",690
"Persons Place of Usual Residence","2211, NSW","49 hours and over",912
"Persons Place of Usual Residence","2211, NSW","Not stated",149
"Persons Place of Usual Residence","2211, NSW","Not applicable",9126
"Persons Place of Usual Residence","2212, NSW","None",191
"Persons Place of Usual Residence","2212, NSW","1-15 hours",691
"Persons Place of Usual Residence","2212, NSW","16-24 hours",711
"Persons Place of Usual Residence","2212, NSW","25-34 hours",657
"Persons Place of Usual Residence","2212, NSW","35-39 hours",1653
"Persons Place of Usual Residence","2212, NSW","40 hours",1657
"Persons Place of Usual Residence","2212, NSW","41-48 hours",579
"Persons Place of Usual Residence","2212, NSW","49 hours and over",867
"Persons Place of Usual Residence","2212, NSW","Not stated",145
"Persons Place of Usual Residence","2212, NSW","Not applicable",8692
"Persons Place of Usual Residence","2213, NSW","None",300
"Persons Place of Usual Residence","2213, NSW","1-15 hours",1043
"Persons Place of Usual Residence","2213, NSW","16-24 hours",1042
"Persons Place of Usual Residence","2213, NSW","25-34 hours",1041
"Persons Place of Usual Residence","2213, NSW","35-39 hours",2066
"Persons Place of Usual Residence","2213, NSW","40 hours",2293
"Persons Place of Usual Residence","2213, NSW","41-48 hours",919
"Persons Place of Usual Residence","2213, NSW","49 hours and over",1364
"Persons Place of Usual Residence","2213, NSW","Not stated",220
"Persons Place of Usual Residence","2213, NSW","Not applicable",11502
"Persons Place of Usual Residence","2214, NSW","None",60
"Persons Place of Usual Residence","2214, NSW","1-15 hours",223
"Persons Place of Usual Residence","2214, NSW","16-24 hours",215
"Persons Place of Usual Residence","2214, NSW","25-34 hours",215
"Persons Place of Usual Residence","2214, NSW","35-39 hours",379
"Persons Place of Usual Residence","2214, NSW","40 hours",387
"Persons Place of Usual Residence","2214, NSW","41-48 hours",162
"Persons Place of Usual Residence","2214, NSW","49 hours and over",239
"Persons Place of Usual Residence","2214, NSW","Not stated",24
"Persons Place of Usual Residence","2214, NSW","Not applicable",2045
"Persons Place of Usual Residence","2216, NSW","None",413
"Persons Place of Usual Residence","2216, NSW","1-15 hours",1179
"Persons Place of Usual Residence","2216, NSW","16-24 hours",2034
"Persons Place of Usual Residence","2216, NSW","25-34 hours",1340
"Persons Place of Usual Residence","2216, NSW","35-39 hours",3287
"Persons Place of Usual Residence","2216, NSW","40 hours",2854
"Persons Place of Usual Residence","2216, NSW","41-48 hours",1099
"Persons Place of Usual Residence","2216, NSW","49 hours and over",1491
"Persons Place of Usual Residence","2216, NSW","Not stated",367
"Persons Place of Usual Residence","2216, NSW","Not applicable",14007
"Persons Place of Usual Residence","2217, NSW","None",380
"Persons Place of Usual Residence","2217, NSW","1-15 hours",1186
"Persons Place of Usual Residence","2217, NSW","16-24 hours",1719
